Fjord_ID,Fjord_Latitude,Fjord_Longitude,Glacier_ID,Glacier_Point_Latitude,Glacier_Point_Longitude,Fjord_Area_km2,Fjord_Mouth_Length_km,MaxDepth_m_Bedmachine_v5,MeanDepth_m_Bedmachine_v5,Depth_StdDev_m_Bedmachine_v5,FjordMouth1kmBuffer_MaxDepth_m_Bedmachine_v5,FjordMouth1kmBuffer_MeanDepth_m_Bedmachine_v5,FjordMouth1kmBuffer_Depth_StdDev_m_Bedmachine_v5,FjordMouth2kmBuffer_MaxDepth_m_Bedmachine_v5,FjordMouth2kmBuffer_MeanDepth_m_Bedmachine_v5,FjordMouth2kmBuffer_Depth_StdDev_m_Bedmachine_v5,Mankoff_Glacier_ID,Median,Fjord_Cumulative_Solid_Ice_Discharge_Gt_2015_2019,Fjord_Cumulative_Solid_Ice_Discharge_Error_Gt_2015_2019,Median,Fjord_Mean_Annual_Solid_Ice_Discharge_GtPerYr_2015_2019 updated,Fjord_Mean_Annual_Solid_Ice_Discharge_GtPerYr_2015_2019,Fjord_Mean_Annual_Solid_Ice_Discharge_Error_GtPerYr_2015_2019,Median,Fjord_Mean_Hydroyear_Discharge_GtPerYr Updated,Fjord_Mean_Hydroyear_Discharge_GtPerYr,Fjord_Mean_Hydroyear_Discharge_Error_GtPerYr,Median,Fjord_Mean_Winter_Discharge_GtPerYr updated,Fjord_Mean_Winter_Discharge_GtPerYr,Fjord_Mean_Winter_Discharge_Error_GtPerYr,Median,Fjord_Mean_Spring_Discharge_GtPerYr Updated,Fjord_Mean_Spring_Discharge_GtPerYr,Fjord_Mean_Spring_Discharge_Error_GtPerYr,Median,Fjord_Mean_Summer_Discharge_GtPerYr Updated,Fjord_Mean_Summer_Discharge_GtPerYr,Fjord_Mean_Summer_Discharge_Error_GtPerYr,Median ,Autumn Updated,Fjord_Mean_Autumn_Discharge_GtPerYr,Fjord_Mean_Autumn_Discharge_Error_GtPerYr,Median,Glacier_Cumulative_Solid_Ice_Discharge_Gt_2015_2019 Updated,Glacier_Cumulative_Solid_Ice_Discharge_Gt_2015_2019,Glacier_Cumulative_Solid_Ice_Discharge_Error_Gt_2015_2019,Median,Glacier_Mean_Annual_Solid_Ice_Discharge_GtPerYr_2015_2019 Updated,Glacier_Mean_Annual_Solid_Ice_Discharge_GtPerYr_2015_2019,Glacier_Mean_Annual_Solid_Ice_Discharge_Error_GtPerYr_2015_2019,Median,Hydroyear Updated,Glacier_Mean_Hydroyear_Discharge_GtPerYr,Glacier_Mean_Hydroyear_Discharge_Error_GtPerYr,Median,Winter Updated,Glacier_Mean_Winter_Discharge_GtPerYr,Glacier_Mean_Winter_Discharge_Error_GtPerYr,Median,Spring Update,Glacier_Mean_Spring_Discharge_GtPerYr,Glacier_Mean_Spring_Discharge_Error_GtPerYr,Median ,Summer Updated,Glacier_Mean_Summer_Discharge_GtPerYr,Glacier_Mean_Summer_Discharge_Error_GtPerYr,Median,Autumn Updated,Glacier_Mean_Autumn_Discharge_GtPerYr,Glacier_Mean_Autumn_Discharge_Error_GtPerYr,Cumulative_FWF_m3_MAR,AnnualMean_FWF_m3_MAR,Mean_Winter_FWF_m3_MAR,Mean_Spring_FWF_m3_MAR,Mean_Summer_FWF_m3_MAR,Mean_Autumn_FWF_m3_MAR
1,69.911,-22.817793,132,69.964707,-22.8832,200.49,26.8,176.1363,23.48918,37.38366,138.065,43.82877,33.80342,177.760406,48.206,41.35127,,29.99,29.99,,6.1025,6.1025,,,6.22,6.22,,,6.366,6.366,,,6.1785,6.1785,,,5.9795,5.9795,,,6.0615,6.0615,,,5.413,5.413,,,1.082,1.082,,,1.088,1.088,,,1.074,1.074,,,1.081,1.081,,,1.094,1.094,,,1.08,1.08,,,4.80E+09,9.60E+08,35521879,23810531,7.64E+08,1.36E+08
2,69.664454,-23.569006,,,,110.48,13.29,74.0143,15.49413,20.30655,82.23723,34.11205,22.83078,97.208046,35.17643,26.60455,,29.99,29.99,,6.1025,6.1025,,,6.22,6.22,,,6.366,6.366,,,6.1785,6.1785,,,5.9795,5.9795,,,6.0615,6.0615,,,5.413,5.413,,,1.082,1.082,,,1.088,1.088,,,1.074,1.074,,,1.081,1.081,,,1.094,1.094,,,1.08,1.08,,,1.12E+09,2.23E+08,29476147,25520402,1.23E+08,45126526
3,69.522478,-24.032489,133,69.598531,-24.0055,117.62,15.11,160.8124,52.87464,52.99648,127.4342,52.4689,40.26529,139.676437,53.10523,42.95232,,29.99,29.99,,6.1025,6.1025,,,6.22,6.22,,,6.366,6.366,,,6.1785,6.1785,,,5.9795,5.9795,,,6.0615,6.0615,,,5.413,5.413,,,1.082,1.082,,,1.088,1.088,,,1.074,1.074,,,1.081,1.081,,,1.094,1.094,,,1.08,1.08,,,1.34E+09,2.69E+08,25979267,28393500,1.71E+08,43488560
4,69.352949,-24.610384,,,,99.88,10.89,171.3218,38.75532,41.06229,161.4442,70.10807,43.02158,189.71875,69.5836,49.44102,,29.99,29.99,,6.1025,6.1025,,,6.22,6.22,,,6.366,6.366,,,6.1785,6.1785,,,5.9795,5.9795,,,6.0615,6.0615,,,5.413,5.413,,,1.082,1.082,,,1.088,1.088,,,1.074,1.074,,,1.081,1.081,,,1.094,1.094,,,1.08,1.08,,,7.80E+08,1.56E+08,13723213,17416286,1.01E+08,23788400
5,69.2432,-25.100802,135,69.234147,-25.4668,144.89,9.38,178.1754,66.9047,55.19263,164.8892,80.71493,53.36178,178.058243,80.41151,54.34453,166,29.99,2.58,0.331,6.1025,0.516,0.516,0.067,6.22,0.508,0.508,0.066,6.366,0.526,0.526,0.069,6.1785,0.53,0.53,0.068,5.9795,0.501,0.501,0.065,6.0615,0.499,0.499,0.065,5.413,0.22,0.22,0.066,1.082,0.044,0.044,0.014,1.088,0.043,0.043,0.013,1.074,0.047,0.047,0.015,1.081,0.045,0.045,0.014,1.094,0.041,0.041,0.012,1.08,0.041,0.041,0.013,2.08E+10,4.16E+09,63938369,1.11E+08,3.61E+09,3.85E+08
5,69.2432,-25.100802,134,69.306407,-25.1864,144.89,9.38,178.1754,66.9047,55.19263,164.8892,80.71493,53.36178,178.058243,80.41151,54.34453,164,32.61,2.58,0.331,6.731,0.516,0.516,0.067,6.718,0.508,0.508,0.066,6.791,0.526,0.526,0.069,7.015,0.53,0.53,0.068,6.587,0.501,0.501,0.065,6.51,0.499,0.499,0.065,5.4865,2.363,2.363,0.325,1.097,0.472,0.472,0.066,1.1,0.465,0.465,0.065,1.0995,0.479,0.479,0.067,1.089,0.484,0.484,0.067,1.098,0.46,0.46,0.064,1.0815,0.458,0.458,0.064,2.08E+10,4.16E+09,63938369,1.11E+08,3.61E+09,3.85E+08
6,69.090246,-25.242737,,,,42.96,8.97,21.04085,2.213401,4.631628,34.97931,11.08158,15.87547,50.567394,14.6491,17.58074,,32.61,32.61,,6.731,6.1025,,,6.718,6.22,,,6.791,6.366,,,7.015,6.1785,,,6.587,5.9795,,,6.51,6.0615,,,5.56,5.413,,,1.112,1.082,,,1.112,1.088,,,1.125,1.074,,,1.097,1.081,,,1.102,1.094,,,1.083,1.08,,,4.30E+08,85947314,8694996,9504617,51275403,16472299
7,69.023653,-25.536848,,,,94.45,8.71,141.6866,52.22987,47.30997,122.2787,52.84221,40.32557,140.438538,51.20129,41.79803,,32.61,32.61,,6.731,6.1025,,,6.718,6.22,,,6.791,6.366,,,7.015,6.1785,,,6.587,5.9795,,,6.51,6.0615,,,5.56,5.413,,,1.112,1.082,,,1.112,1.088,,,1.125,1.074,,,1.097,1.081,,,1.102,1.094,,,1.083,1.08,,,9.20E+08,1.84E+08,19720992,19493686,1.06E+08,38313480
8,68.863021,-25.971615,136,68.958346,-25.9685,180.61,39.59,115.4811,8.591544,24.83485,21.70246,2.832895,5.059976,34.907345,5.57389,7.606237,170,32.61,0.53,0.168,6.731,0.105,0.105,0.034,6.718,0.105,0.105,0.034,6.791,0.104,0.104,0.034,7.015,0.102,0.102,0.033,6.587,0.106,0.106,0.034,6.51,0.109,0.109,0.035,5.56,0.527,0.527,0.168,1.112,0.105,0.105,0.034,1.112,0.105,0.105,0.034,1.125,0.104,0.104,0.034,1.097,0.102,0.102,0.033,1.102,0.106,0.106,0.034,1.083,0.109,0.109,0.035,1.01E+10,2.01E+09,40807470,77387473,1.59E+09,3.01E+08
8,68.863021,-25.971615,138,68.812232,-26.3949,180.61,39.59,115.4811,8.591544,24.83485,21.70246,2.832895,5.059976,34.907345,5.57389,7.606237,,32.61,0.53,0.168,6.731,0.105,0.105,0.034,6.718,0.105,0.105,0.034,6.791,0.104,0.104,0.034,7.015,0.102,0.102,0.033,6.587,0.106,0.106,0.034,6.51,0.109,0.109,0.035,5.5655,5.413,,,1.113,1.082,,,1.116,1.088,,,1.13,1.074,,,1.1145,1.081,,,1.105,1.094,,,1.111,1.08,,,1.01E+10,2.01E+09,40807470,77387473,1.59E+09,3.01E+08
